关键词,描述内容
固定翼无人机,固定翼无人机
固定翼无人机,固定翼无人机
固定翼无人机,机翼外端后掠角可随速度自动或手动调整的机翼固定的一类无人机
固定翼无人机,因其优良的功能、模块化集成
固定翼无人机,现已广泛应用在测绘、地质、石油、农林等职业
固定翼无人机,具有广阔的市场应用远景
固定翼无人机,一般的固定翼无人机系统由五个主要部分组成：机体结构、航电系统、动力系统、起降系统和地面控制站
固定翼无人机,机体结构由可拆卸的模块化机体组成
固定翼无人机,既方便携带
固定翼无人机,又可以在短时间内完成组装、起飞
固定翼无人机,航电系统由飞控电脑、感应器、酬载、无线通讯、空电电池组成
固定翼无人机,完成飞机控制系统的需要
固定翼无人机,动力系统由动力电池、螺旋桨、无刷马达组成
固定翼无人机,提供飞机飞行所需的动力
固定翼无人机,起降系统由弹射绳、弹射架、降落伞组成
固定翼无人机,帮助飞机完成弹射起飞和伞降着陆
固定翼无人机,地面控制站包括地面站电脑、手柄、电台等通讯设备
固定翼无人机,用以辅助完成路线规划任务和飞行过程的监控
旋翼无人机,旋翼无人机
旋翼无人机,微型旋翼无人机是微机电系统集成的产物
旋翼无人机,以其能够垂直起降、自由悬停、控制灵活和适应各种环境能力强等优点成为国内外很多实验室研究的重点
旋翼无人机,微型旋翼无人机的系统研究主要是针对地面控制系统和机载测控通信系统
旋翼无人机,地面控制系统是能够对无人机的飞行姿态进行监测和指令控制；机载测控通信系统主要是在无人机飞行状态下对惯性传感器、超声波测距仪等进行数据采集
旋翼无人机,并把这些数据传送给地面控制系统
差动均姿,差动均姿
差动均姿,差动控制是一种通过控制两个或多个相同或相似的系统之间的差异来实现精确控制的方法
差动均姿,这种方法用于调整无人机的姿态
差动均姿,通过比较无人机的当前姿态与目标姿态之间的差异
差动均姿,控制器可以计算出必要的纠正动作
差动均姿,而这些动作被应用于无人机的控制系统
差动均姿,以实现姿态的精确调整
模块化平面相控阵雷达天线机构,模块化平面相控阵雷达天线机构
模块化平面相控阵雷达天线机构,哈尔滨工业大学刘荣强教授团队在宇航空间机构及控制领域有显著研究成果
模块化平面相控阵雷达天线机构,他们自2000年以来一直从事相关研究
模块化平面相控阵雷达天线机构,近年来主要关注大型空间可展开机构的创新设计、动力学分析与实验
模块化平面相控阵雷达天线机构,研究成果包括大型空间可重复展收伸展臂、可展开抛物面天线机构、模块化可展开平面天线机构等原理样机的研制
模块化平面相控阵雷达天线机构,以及完成多个科研项目和发表多篇论文
大飞机制造,大飞机制造
大飞机制造,这里的大飞机指C919（中文：中国商飞C919
大飞机制造,英文：COMAC C919）
大飞机制造,是中国首款按照国际通行适航标准自行研制、具有自主知识产权的喷气式中程干线客机
大飞机制造,设计定位于150座级单通道窄体机市场
核心舱,核心舱
核心舱,天和核心舱是中国空间站发射入轨的首个舱段
核心舱,天和核心舱主要用于中国空间站统一控制和管理
核心舱,具备长期自主飞行能力
核心舱,可支持航天员长期驻留
核心舱,开展航天医学、空间科学实验和技术试验
核心舱,起飞质量22.5吨
核心舱,是中国自主研制的规模最大、系统最复杂的航天器
核心舱,后续
核心舱,天和核心舱先后迎接天舟货运飞船和神舟飞船的访问
核心舱,在全面完成空间站关键技术验证后
核心舱,与问天实验舱、梦天实验舱实施交会对接
核心舱,完成中国空间站三舱组合体在轨组装建造
核心舱,2021年4月29日11时23分
核心舱,天和核心舱由长征五号B遥二运载火箭搭载发射
核心舱,在中国文昌航天发射场点火升空
核心舱,约494秒后
核心舱,天和核心舱与火箭分离
核心舱,进入预定轨道；12时36分
核心舱,天和核心舱的太阳能帆板两翼展开且工作正常
核心舱,发射任务取得成功
问天实验舱,问天实验舱
问天实验舱,问天实验舱是中国空间站发射入轨完成建造国家太空实验室的重要大型舱段之一
问天实验舱,问天实验舱是中国空间站的第二个舱段
问天实验舱,也是首个科学实验舱
问天实验舱,问天实验舱由工作舱、气闸舱和资源舱组成
问天实验舱,起飞重量约23吨
问天实验舱,主要用于支持航天员驻留、出舱活动和开展空间科学实验
问天实验舱,同时可作为天和核心舱的备份
问天实验舱,对空间站进行管理
问天实验舱,该次任务是中国空间站首次在有人状态下迎接的航天器到访
问天实验舱,同时
问天实验舱,问天实验舱舱段也是中国迄今为止发射的最重载荷
问天实验舱,北京时间2022年7月24日14时22分22秒
问天实验舱,搭载问天实验舱的长征五号B遥三运载火箭
问天实验舱,在中国文昌航天发射场点火升空
问天实验舱,发射取得成功
问天实验舱,北京时间2022年7月25日3时13分
问天实验舱,问天实验舱成功对接于天和核心舱前向端口
问天实验舱,2022年7月25日10时03分
问天实验舱,神舟十四号航天员乘组成功开启舱门顺利进入问天实验舱
问天实验舱,2023年7月20日
问天实验舱,神舟十六号航天员乘组圆满完成出舱活动全部既定任务
问天实验舱,航天员景海鹏、朱杨柱已安全返回空间站问天实验舱
问天实验舱,出舱活动取得圆满成功
问天实验舱,航天员朱杨柱成为中国首个出舱活动的航天飞行工程师
舱外状态检查,舱外状态检查
舱外状态检查,舱外状态检查通常指对空间站外部结构和系统的检查和评估
舱外状态检查,以确保其正常运作和完好无损
舱外状态检查,舱外状态检查通常包括结构完整性检查
舱外状态检查,表面状况检测
舱外状态检查,传感器通信设备以及舱外实验设备检查等
舱外状态检查,舱外状态检查通常通过舱外活动
舱外状态检查,或利用舱外摄像头以及机械臂完成
舱外货物转移,舱外货物转移
舱外货物转移,空间站货物出舱安装任务由载荷转移机构、货物气闸舱、内外舱门、机械臂协同配合
舱外货物转移,通过在轨航天员或地面操作
舱外货物转移,将需要出舱的货物送出舱外
舱外货物转移,根据任务需要也可将舱外的货物送进舱内
舱外货物转移,突破掌握此项关键技术
舱外货物转移,可大幅提高舱内外货物交换效率
舱外货物转移,减少航天员出舱次数和工作量
舱外货物转移,按计划
舱外货物转移,后续还将持续开展货物出舱安装工作
舱外维护维修,舱外维护维修
舱外维护维修,舱外维修与辅助工具由中国航天科技集团五院研制
舱外维护维修,可协助航天员有效克服在轨着航天服状态下
舱外维护维修,手套充压后操作不便、航天员需单手操作难度大、在轨防漂要求高等难题
舱外维护维修,具备辅助航天员在轨着航天服状态下开展舱外行走、位姿转换、设备更换、产品安全防护等多项功能
舱外维护维修,是航天员执行舱外活动必不可少的工具
载荷照料,载荷照料
载荷照料,载荷照料通常指对空间飞行器上的载荷的管理和维护的工作
载荷照料,载荷可以是科学仪器、卫星、实验设备或任何其他为了特定目的被送入太空的设备
载荷照料,载荷照料设计载荷的安装部署
载荷照料,操作监控
载荷照料,维护和故障排除
载荷照料,数据管理
载荷照料,环境控制以及返回和回收
光学设施维护,光学设施维护
光学设施维护,巡天空间望远镜可以看作一座在轨飞行的移动式空间天文台
光学设施维护,在日常观测的时候远离空间站共轨飞行
光学设施维护,与空间站在一个轨道面内
光学设施维护,当需要补给或者维修升级时
光学设施维护,巡天空间望远镜会主动与空间站进行对接
光学设施维护,然后进行补给
光学设施维护,也可以通过航天员的操作
光学设施维护,对后端的仪器以及前面主光学系统的组件进行更换升级
光学设施维护,或者运送到实验舱内进行维修
天宫二号,天宫二号
天宫二号,天宫二号
天宫二号,为中国载人航天工程发射第二个目标飞行器
天宫二号,是中国首个具备补加功能的载人航天科学实验空间实验室
天宫二号,天宫二号于2016年9月15日在酒泉卫星发射中心发射升空；于2019年7月16日终止数据服务；于2019年7月19日受控离轨并再入大气层
天宫二号,落入南太平洋预定安全海域
天宫二号,天宫二号是空间实验室阶段任务的主要飞行器之一
天宫二号,先后与神舟十一号、天舟一号进行对接
天宫二号,承担着验证空间站相关技术的重要使命
天宫二号,是中国第一个真正意义上的太空实验室
酒泉卫星发射中心,酒泉卫星发射中心
酒泉卫星发射中心,酒泉卫星发射中心
酒泉卫星发射中心,又称“东风航天城”
酒泉卫星发射中心,是原总装备部20基地
酒泉卫星发射中心,1958年10月20日成立
酒泉卫星发射中心,是中国创建最早、规模最大的综合型导弹、卫星发射中心
酒泉卫星发射中心,测试及发射长征系列运载火箭、中低轨道的各种试验卫星、应用卫星、载人飞船和火箭导弹的主要基地
酒泉卫星发射中心,基地并负有残骸回收、航天员应急救生等任务
酒泉卫星发射中心,是中国科学卫星、技术试验卫星和运载火箭的发射试验基地之一
酒泉卫星发射中心,隶属于原中国人民解放军总装备部
酒泉卫星发射中心,现隶属于战略支援部队
酒泉卫星发射中心,酒泉卫星发射中心位于甘肃省酒泉市东北地区
酒泉卫星发射中心,占地面积约2800平方千米
酒泉卫星发射中心,地势平坦
酒泉卫星发射中心,人烟稀少
酒泉卫星发射中心,干燥少雨
酒泉卫星发射中心,每年约有300天可进行发射试验
酒泉卫星发射中心,是发射航天器的理想场所
酒泉卫星发射中心,2016年1月8日
酒泉卫星发射中心,酒泉卫星发射中心被国家旅游局授予首批“全国研学旅游示范基地”称号
酒泉卫星发射中心,2017年3月28日
酒泉卫星发射中心,被国家旅游局、中国科学院推选为“首批中国十大科技旅游基地”
酒泉卫星发射中心,2018年1月27日
酒泉卫星发射中心,酒泉卫星发射中心入选“中国工业遗产保护名录”
酒泉卫星发射中心,截至2018年10月
酒泉卫星发射中心,该中心先后执行110次航天发射任务
酒泉卫星发射中心,成功将145颗卫星、11艘飞船、11名航天员送入太空
酒泉卫星发射中心,北京时间2023年10月26日11时14分
酒泉卫星发射中心,搭载神舟十七号载人飞船的长征二号F遥十七运载火箭在酒泉卫星发射中心点火发射
酒泉卫星发射中心,约10分钟后
酒泉卫星发射中心,神舟十七号载人飞船与火箭成功分离
酒泉卫星发射中心,进入预定轨道
酒泉卫星发射中心,航天员乘组状态良好
酒泉卫星发射中心,发射取得圆满成功
人机协同在轨维修试验,人机协同在轨维修试验
人机协同在轨维修试验,2016年11月9日
人机协同在轨维修试验,天宫二号航天员与空间机械手进行了人机协同在轨维修科学试验
人机协同在轨维修试验,这是国际首次人机协同在轨维修技术试验
人机协同在轨维修试验,该试验由哈工大与中国航天科技集团公司第五研究院、北京理工大学共同完成的
人机协同在轨维修试验,这项试验主要面向航天设备在轨组装及拆卸任务
人机协同在轨维修试验,探索人机协同完成在轨维修典型作业
人机协同在轨维修试验,为空间机器人在轨服务积累经验
在轨插拔航天电连接器,在轨插拔航天电连接器
在轨插拔航天电连接器,在轨插拔航天电连接器指的是在太空环境中
在轨插拔航天电连接器,即在轨道上
在轨插拔航天电连接器,对航天器电连接器进行插入（插拔）和分离（拔插）的操作
在轨插拔航天电连接器,这种操作通常是在航天器进行维修、升级或模块更换时进行的
遥操作灵巧手,遥操作灵巧手
遥操作灵巧手,天宫二号空间机械手由哈工大研制
遥操作灵巧手,包含多感知柔性机械臂、五指仿人灵巧手、控制器及其软件、手眼相机、人机交互设备及其软件等
遥操作灵巧手,研制团队在三年研制周期内
遥操作灵巧手,完成了产品研制、地面操作试验、空间环境适应性试验等工作
遥操作灵巧手,2016年9月15日
遥操作灵巧手,空间 机械手随天宫二号发射入轨
遥操作灵巧手,2016年10月19日
遥操作灵巧手,天宫二号与神舟十一号对接后
遥操作灵巧手,航天员与机械手协同完成了拿电动工具拧螺钉、拆除隔热材料、在轨遥操作等科学试验
遥操作灵巧手, 从“十五”开始
遥操作灵巧手,哈工大机器人技术与系统国家重点实验室刘宏教授、刘伊威副教授等面向机械手在空间维修维护中的潜在应用
遥操作灵巧手,开展了灵巧手、机械臂、柔顺控制、 人机协同 及遥操作等前沿方向的创新性研究
遥操作灵巧手,实现了 人机协同 操作中的安全性、灵巧性、交互性等关键技术的突破
遥操作灵巧手,其中
遥操作灵巧手,运动规划与仿真、碰撞检测、 机械手 柔顺控制等保证了操作过程的人机安全
遥操作灵巧手,仿人灵巧手能够实现对多种操作目标的灵巧抓握及操作
遥操作灵巧手,航天员基于交互设备实现了对机械手的遥操作控制并能感知操作过程的接触力
遥操作灵巧手,团队多年的基础理论研究、关键技术突破和系统集成攻关
遥操作灵巧手,为本次科学试验的成功奠定了坚实基础
玉兔号,玉兔号
玉兔号,玉兔号是中国首辆月球车和着陆器共同组成的嫦娥三号探测器
玉兔号,玉兔号月球车设计质量137千克
玉兔号,能源为太阳能
玉兔号,能够耐受月球表面真空、强辐射、零下180摄氏度到零上150摄氏度极限温度等极端环境
玉兔号,月球车具备20度爬坡、20厘米越障能力
玉兔号,并配备有全景相机、红外成像光谱仪、测月雷达、粒子激发X射线谱仪等科学探测仪器
月球车,月球车
月球车,月球车是一种能够在月球表面行驶并完成月球探测、考察、收集和分析样品等复杂任务的专用车辆
月球车,在实验室里
月球车,这个重要角色的学名是“月面巡视探测器”
月球车,为了使月球车在月面上能够顺利行驶
月球车,美国、前苏联曾发射了一系列的卫星探测
月球车,并对月面环境进行了反复的科学实验
月球车,为在探测器上携带月球车的成功打下了可靠的基础
月球车,科学家对经由月球车月面的实地考察所带回的宝贵资料进行了分析研究
月球车,大大深化了人类对月球的认识
火星车,火星车
火星车,火星探测车是指在火星登陆用于火星探测的可移动探测器
火星车,是人类发射的在火星表面行驶并进行考察的一种车辆
火星车,火星车之前由美国和前苏联多次发射
火星车,火星车传来了大量的火星资料
火星车,为人类了解火星做出了巨大的贡献
大型空间伸展臂,大型空间伸展臂
大型空间伸展臂,大型空间伸展臂是一种特殊的机械结构
大型空间伸展臂,通常用于在空间中展开和操作大型结构
大型空间伸展臂,它是一种可折叠的机械臂
大型空间伸展臂,可以在发射时折叠起来
大型空间伸展臂,以适应火箭或航天器的尺寸限制
大型空间伸展臂,然后在太空中展开
大型空间伸展臂,以实现更大的操作空间
大型空间伸展臂,大型空间伸展臂被广泛应用于各种空间任务中
大型空间伸展臂,例如卫星部署、太空探测器操作、空间站组装和维护等
远程空间通信,远程空间通信
远程空间通信,远程空间通信是指利用无线电波在地球站与航天器之间进行远距离通信
远程空间通信,这种通信方式可以实现在地球站与航天器之间的信息传输
远程空间通信,包括语音、数据和图像等信息
高分辨对地观测,高分辨对地观测
高分辨对地观测,高分专项工程是中国国家中长期科学和技术发展规划纲要(2006－2020年) 的16个重大科技专项之一
高分辨对地观测,高分辨率对地观测系统重大专项（简称高分专项）是《国家中长期科学与技术发展规划纲要（2006-2020年）》确定的十六个重大科技专项之一
高分辨对地观测,于2010年批准启动实施
高分辨对地观测,“十二五”阶段
高分辨对地观测,高分专项建设成绩斐然
高分辨对地观测,高分一号、二号、四号卫星发射升空
高分辨对地观测,实现了亚米级高空间分辨率与高时间分辨率的有机结合
高分辨对地观测,高分专项在网络上被亲切的称为“中国人自己的全球观测系统”
嫦娥五号钻表复合高效采样技术,嫦娥五号钻表复合高效采样技术
嫦娥五号钻表复合高效采样技术,嫦娥五号采用的钻表复合高效采样技术是结合了钻取和表取两种方式
嫦娥五号钻表复合高效采样技术,通过空心钻杆的取芯机构钻到月球表面两米深以下处
嫦娥五号钻表复合高效采样技术,得到深层样品的层理信息
嫦娥五号钻表复合高效采样技术,同时采用机械臂末端固定铲挖型采样器进行表层和次表层月壤采集
嫦娥五号钻表复合高效采样技术,实现多点、多次采样
机械臂表取复合样品封装与传送,机械臂表取复合样品封装与传送
机械臂表取复合样品封装与传送,嫦娥五号的机械臂表取复合样品封装与传送是一个复杂而精密的过程
机械臂表取复合样品封装与传送,通过使用钻表复合高效采样技术
机械臂表取复合样品封装与传送,机械臂能够精确地钻取和表取月球表面的样品
机械臂表取复合样品封装与传送,并使用特殊的封装设备将不同深度的样品分别封装在返回器的不同层次中
月面采样技术体系,月面采样技术体系
月面采样技术体系,月面采样技术体系是嫦娥五号工程的核心技术
月面采样技术体系,采用钻取和表取两种方式共同完成采样任务
月面采样技术体系,通过一次任务可同时获得表层和次表层样品
月面采样技术体系,在国际上尚属首例
月面采样技术体系,上升器会带着采集样品与轨返组合体进行交会对接
月面采样技术体系,并将样品转移到返回器中
月面采样技术体系,最终由返回器携带样品返回地球
小行星探测附着采样系统,小行星探测附着采样系统
小行星探测附着采样系统,小行星探测附着采样系统是一种设备
小行星探测附着采样系统,用于在小行星表面附着并采集其样品
小行星探测附着采样系统,它由附着装置和采样装置组成
小行星探测附着采样系统,附着装置能够稳定地附着在小行星表面
小行星探测附着采样系统,采样装置能够从小行星表面挖掘或刮取材料并存储样品
空间灵巧手技术,空间灵巧手技术
空间灵巧手技术,2016年9月我国首个空间灵巧手随天宫二号在酒泉卫星发射中心成功发射
空间灵巧手技术,10月至11月开展人机协同在轨维修试验9次
空间灵巧手技术,累计80人时
空间灵巧手技术,成功完成国际首次在轨手持电动工具旋拧螺钉、在轨插拔航天电连接器
空间灵巧手技术,我国首次航天员在轨遥操作灵巧手等精细操作任务
空间灵巧手技术,获国家技术发明二等奖2项
空间灵巧手技术,2007欧盟机器人技术和转化一等奖1项
空间灵巧手技术,出版专著1部
轮式星球车移动技术,轮式星球车移动技术
轮式星球车移动技术,为我国“玉兔号”月球车提供了“6驱动/4转向/主副摇臂/差动均姿”悬架构型及设计参数与筛网轮构型
轮式星球车移动技术,提供了“玉兔号”月球车、火星车转移机构提出轮步式火星车移动系统构型
轮式星球车移动技术,移动性能优越
轮式星球车移动技术,方案已被我国火星车采用
空间折展机构与变形翼技术,空间折展机构与变形翼技术
空间折展机构与变形翼技术,联合研制出我国首个60米长大型空间伸展臂、57米大型模块化平面相控阵雷达天线机构
空间折展机构与变形翼技术,研究成果用于我国百米雷达天线等
空间折展机构与变形翼技术,为我国远程空间通信和高分辨对地观测提供了核心装备为我国高超声速飞行器提供了核心装备
操控作业与采样技术,操控作业与采样技术
操控作业与采样技术,解决嫦娥五号钻表复合高效采样技术难题
操控作业与采样技术,主持构建了“嫦娥五号”钻取/机械臂表取复合样品封装与传送的月面采样技术体系
操控作业与采样技术,主持设计并联合研制了“嫦娥五号”月面钻取采样系统正样产品
操控作业与采样技术,为我国首次小行星探测附着采样系统提供了关键技术
单兵外骨骼,单兵外骨骼
单兵外骨骼,中国单兵外骨骼系统是由中国兵器集团202研究所研制的外骨骼系统
单兵外骨骼,于2015年7月在中国军民融合技术装备博览会上首次亮相
单兵外骨骼,中国单兵外骨骼系统可加装辅助装置
单兵外骨骼,额定负荷平均平地步速为4.5公里每小时
单兵外骨骼,平地行走续航里程为20公里；该新型外骨骼若装备部队
单兵外骨骼,可提高高原部队的单兵负重量
单兵外骨骼,提升单兵侦查能力
单兵外骨骼,可执行高原单兵巡逻、山地单兵巡逻、跨越障碍等任务
穿戴式外肢体机器人,穿戴式外肢体机器人
穿戴式外肢体机器人,可穿戴外骨骼机器人可穿戴
穿戴式外肢体机器人,顾名思义就是这些外骨骼机器人
穿戴式外肢体机器人,是可以穿到、套到我们身上并且与身体进行协同
穿戴式外肢体机器人,其设计部件和关节模仿人类的运动模式
